season,gameweek,ridge_xp_mae,structural_xp_mae,hybrid_xp_mae,ridge_xp_top5_points,structural_xp_top5_points,hybrid_xp_top5_points,ridge_xp_top5_3gw,structural_xp_top5_3gw,hybrid_xp_top5_3gw,ridge_xp_ndcg10,structural_xp_ndcg10,hybrid_xp_ndcg10,ridge_xp_captain_regret,structural_xp_captain_regret,hybrid_xp_captain_regret
2025/26,26,2.2748725676682824,2.015361706958869,2.1383686725591637,3.6,5.6,7.0,10.8,13.790000000000003,13.318000000000001,0.34090080902264597,0.47827731208948693,0.42690314955800507,12.0,3.0,12.0
2025/26,27,2.2703594233430797,2.119362034605739,2.182080329340323,3.6,3.4,3.2,12.078,12.076,11.120000000000001,0.3034106222875565,0.2196015027139256,0.3046933349848356,14.0,14.0,14.0
2025/26,28,2.3248147821150096,2.117299545100469,2.2308676141114687,3.8,9.0,6.4,12.386,15.173999999999998,14.193999999999999,0.32518134228014683,0.5713863599245446,0.3865248763572077,13.0,0.0,13.0
2025/26,29,2.5015500625002356,2.4100906074952486,2.443771496533912,7.2,3.8,7.0,9.306000000000001,5.5280000000000005,12.472000000000001,0.5119665460293049,0.35485983328921994,0.4815915320307352,10.0,12.0,10.0
2025/26,30,2.369089478651451,2.2517146744169887,2.310405870317731,3.6,3.4,3.2,7.920000000000002,10.258000000000001,8.06,0.2972861764207285,0.2855723423267068,0.2709432061304465,11.0,11.0,11.0
2025/26,31,2.3680953460211316,2.285225540639296,2.317785010583815,5.4,5.4,5.4,9.035999999999998,9.557999999999998,9.035999999999998,0.370727894711063,0.4182252397753903,0.3337444475743836,14.0,3.0,14.0
2025/26,32,2.3463639650151182,2.1705672483699052,2.257939700372577,4.8,6.2,2.6,9.030000000000001,10.7,4.85,0.2914251704180098,0.29814963715940623,0.3127174313636734,17.0,17.0,17.0
2025/26,33,2.985964237717045,2.7594839815840424,2.8698788117003113,11.4,5.2,6.2,17.753999999999998,6.82,7.982000000000001,0.5198493050254944,0.3732523650572938,0.42474765441073364,7.0,20.0,7.0
2025/26,34,2.394042107063636,2.3092650741776066,2.332450399595846,6.0,4.8,5.2,11.508,8.814,10.852,0.4563976910964917,0.36954096580958024,0.4369701296714622,9.0,9.0,9.0
2025/26,35,2.199957532013078,2.080091304195228,2.130377822095238,3.6,5.4,3.6,13.986,14.274000000000001,13.986,0.3021135792750192,0.37357979410856845,0.3231208594421823,8.0,10.0,10.0
2025/26,36,2.329544668916303,2.1678296662772536,2.2456744293673006,8.0,8.6,8.0,18.998,11.444,11.006000000000002,0.5697585702237716,0.6745835395151312,0.6566328037374336,4.0,10.0,4.0
2025/26,37,2.4045828676151704,2.199880302351307,2.3092938132022702,4.8,5.4,5.4,,,,0.39311055481448226,0.43466522440419875,0.4383752403256242,6.0,9.0,6.0
2025/26,38,2.4069847501430113,2.11336218113099,2.2805183157006765,3.2,0.8,0.4,,,,0.27927161173373094,0.1454953081977376,0.25444605570215034,14.0,14.0,14.0
