season_label,gameweek,web_name,initial_price,predicted_points,points_p10,points_p90,total_points,forecast_eo,realized_eo,nonowner_expected_drag,nonowner_realized_rank_points,owner_realized_rank_points,value_above_replacement_per_m,fair_price,valuation_edge
2024/25,16,Haaland,15.0,6.025236634275203,2.80521633465816,11.205791533153821,2,0.02,0.0,-0.12050473268550406,-0.0,2.0,0.305249800920778,15.270687502121111,0.09015821598026363
2024/25,17,Haaland,15.0,5.9604216569570685,2.740401357340026,11.140976555835685,2,0.0,0.0,-0.0,-0.0,2.0,0.31010363505258953,14.258073359105015,-0.27437141762754
2024/25,18,Haaland,15.0,5.861217639617143,2.6411973400001005,11.04177253849576,0,0.0,0.0,-0.0,-0.0,0.0,0.3010452256167163,14.171749738506236,-0.3007924588043469
2024/25,19,Haaland,15.0,5.713785329225564,2.493765029608521,10.89434022810418,8,0.0,0.01,-0.0,-0.08,7.92,0.3232860608395053,13.54017233455179,-0.5535870709035837
2024/25,20,Haaland,15.0,6.052545159470703,2.83252485985366,11.23310005834932,13,0.01,0.01,-0.06052545159470703,-0.13,12.87,0.3221005445701701,14.261032258910024,-0.2863931777545101
2024/25,21,Haaland,15.0,6.426257809565486,3.2062375099484437,11.606812708444103,2,0.01,0.02,-0.06426257809565486,-0.04,1.96,0.340366237434412,14.335238690355713,-0.26833413002324136
2024/25,22,Haaland,15.0,6.3138510830903565,3.093830783473314,11.494405981968974,6,0.02,0.01,-0.12627702166180713,-0.06,5.9399999999999995,0.35128130785923983,14.54757393217136,-0.17321091044482095
2024/25,23,Haaland,15.0,6.021455727368826,2.8014354277517834,11.202010626247443,12,0.01,0.0,-0.06021455727368826,-0.0,12.0,0.3027535196589083,14.780081677519014,-0.0719882050800491
2024/25,24,Haaland,15.0,6.559661884695971,3.3396415850789283,11.740216783574589,6,0.0,0.0,-0.0,-0.0,6.0,0.37981313078685736,14.500438198174773,-0.21117893079969008
2024/25,25,Haaland,15.0,6.583410750947981,3.3633904513309383,11.763965649826599,5,0.0,0.0,-0.0,-0.0,5.0,0.3537072921136302,15.843512498626298,0.28393942072189393
2024/25,26,Haaland,15.0,6.536147348048507,3.3161270484314644,11.716702246927124,0,0.0,0.0,-0.0,-0.0,0.0,0.3430976997070595,14.685068601758172,-0.11967427447197565
2024/25,27,Haaland,15.0,4.9160146380343015,1.6959943384172589,10.09656953691292,8,0.0,0.0,-0.0,-0.0,8.0,0.19406142899794213,13.055549817721317,-0.4539843169570492
2024/25,28,Haaland,15.0,6.0060793898692975,2.786059090252255,11.186634288747914,2,0.0,0.009993337774816789,-0.0,-0.019986675549633577,1.9800133244503664,0.2835444276039643,15.003703020439014,0.0011511806996917784
2024/25,29,Haaland,15.0,5.874721583475096,2.6547012838580533,11.055276482353714,7,0.009993337774816789,1.08,-0.058708077116673175,-7.5600000000000005,-0.5600000000000005,0.2959739133325839,15.738927002955519,0.22023792376204465
2024/25,30,Haaland,15.0,6.148077802233749,2.928057502616706,11.328632701112365,0,1.08,0.0,-6.639924026412449,-0.0,0.0,0.3326021888828733,16.485406732370894,0.45227332136899623
2024/25,31,Haaland,15.0,4.667015815595538,1.4469955159784953,9.847570714474156,0,0.0,0.0,-0.0,-0.0,0.0,0.18982732951008416,14.846853257853514,-0.029945965008840503
2024/25,32,Haaland,15.0,4.243894069918882,1.0238737703018397,9.424448968797499,0,0.0,0.0,-0.0,-0.0,0.0,0.40418038761132213,,
2024/25,33,Haaland,15.0,3.8897722373382813,0.6697519377212386,9.0703271362169,0,0.0,0.0,-0.0,-0.0,0.0,0.370454498794122,,
2024/25,34,Haaland,15.0,3.62297782534831,0.4029575257312672,8.803532724226928,0,0.0,0.0,-0.0,-0.0,0.0,0.3450455071760295,,
