squad_slot,gameweek,human_points,model_points,weekly_delta,cumulative_human,cumulative_model,cumulative_delta,raw_cumulative_human,raw_cumulative_model,raw_cumulative_delta,hold_points,raw_cumulative_hold,transfer_value_delta,comparison_eligible,free_transfers_before,transfers,hit_cost,predicted_lineup_points,predicted_3gw_gain_vs_hold,bank,captain,transfer_detail,human_chip
1,14,76.0,48.0,-28.0,592.0,496.0,-96.0,797.0,681.0,-116.0,91.0,768.0,-87.0,True,1,1,0,56.391,2.39,0.0,Haaland,Digne -> Thiaw,
1,15,67.0,44.0,-23.0,659.0,540.0,-119.0,864.0,725.0,-139.0,67.0,835.0,-110.0,True,1,1,0,55.644,0.598,0.5,Haaland,Semenyo -> Doku,
1,16,89.0,55.0,-34.0,748.0,595.0,-153.0,953.0,780.0,-173.0,56.0,891.0,-111.0,True,1,1,0,54.047,0.031,1.0,Haaland,Mateta -> Evanilson,
1,17,73.0,71.0,-2.0,821.0,666.0,-155.0,1026.0,851.0,-175.0,71.0,962.0,-111.0,True,1,2,4,54.221,7.025,0.0,Haaland,Doku -> Yeremy; Gakpo -> B.Fernandes,
1,18,57.0,45.0,-12.0,878.0,711.0,-167.0,1083.0,896.0,-187.0,59.0,1021.0,-125.0,True,1,1,0,53.06,3.106,0.0,Haaland,Mbeumo -> Foden,
1,19,44.0,32.0,-12.0,922.0,743.0,-179.0,1127.0,928.0,-199.0,34.0,1055.0,-127.0,True,1,2,4,55.764,2.007,0.0,Haaland,J.Timber -> Dalot; B.Fernandes -> Saka,
1,20,66.0,72.0,6.0,988.0,815.0,-173.0,1193.0,1000.0,-193.0,42.0,1097.0,-97.0,True,1,1,0,48.409,1.494,0.0,Haaland,O'Reilly -> Lewis-Potter,
1,21,68.0,37.0,-31.0,1056.0,852.0,-204.0,1261.0,1037.0,-224.0,52.0,1149.0,-112.0,True,1,1,0,53.776,3.029,0.0,Haaland,Rice -> Cherki,
1,22,54.0,37.0,-17.0,1110.0,889.0,-221.0,1315.0,1074.0,-241.0,44.0,1193.0,-119.0,True,1,1,0,50.401,0.63,0.5,Haaland,Thiaw -> Struijk,
1,23,38.0,50.0,12.0,1148.0,939.0,-209.0,1353.0,1124.0,-229.0,43.0,1236.0,-112.0,True,1,1,0,48.865,8.05,0.0,Haaland,Foden -> Wirtz,
1,24,64.0,57.0,-7.0,1212.0,996.0,-216.0,1417.0,1181.0,-236.0,56.0,1292.0,-111.0,True,1,2,4,52.063,5.669,0.0,Wirtz,Cherki -> Rice; Lewis-Potter -> N.Williams,
1,25,74.0,72.0,-2.0,1286.0,1068.0,-218.0,1491.0,1253.0,-238.0,70.0,1362.0,-109.0,True,1,2,4,53.635,3.169,0.0,Haaland,Saka -> B.Fernandes; N.Williams -> Gabriel,
1,26,78.0,65.0,-13.0,1364.0,1133.0,-231.0,1569.0,1318.0,-251.0,78.0,1440.0,-122.0,True,1,1,0,73.324,2.074,0.0,Rice,Struijk -> Cash,
1,27,54.0,49.0,-5.0,1418.0,1182.0,-236.0,1623.0,1367.0,-256.0,45.0,1485.0,-118.0,True,1,1,0,56.886,0.825,0.0,Rice,Cash -> H.Bueno,
1,28,87.0,68.0,-19.0,1505.0,1250.0,-255.0,1710.0,1435.0,-275.0,57.0,1542.0,-107.0,True,1,1,0,51.418,0.659,1.5,Haaland,Wirtz -> Semenyo,
1,29,86.0,73.0,-13.0,1591.0,1323.0,-268.0,1796.0,1508.0,-288.0,56.0,1598.0,-90.0,True,1,2,4,53.675,12.088,1.0,M.Salah,Haaland -> Thiago; Yeremy -> M.Salah,
1,30,71.0,47.0,-24.0,1662.0,1370.0,-292.0,1867.0,1555.0,-312.0,40.0,1638.0,-83.0,True,1,1,0,56.911,3.127,0.0,M.Salah,H.Bueno -> Konaté,
1,31,64.0,48.0,-16.0,1726.0,1418.0,-308.0,1931.0,1603.0,-328.0,42.0,1680.0,-77.0,True,1,1,0,51.977,2.539,0.5,B.Fernandes,Konaté -> Thiaw,
1,32,75.0,49.0,-26.0,1726.0,1418.0,-308.0,2006.0,1652.0,-354.0,43.0,1723.0,-71.0,False,1,1,0,50.155,3.6,0.0,B.Fernandes,Semenyo -> Gibbs-White,Wild Card
1,33,98.0,68.0,-30.0,1726.0,1418.0,-308.0,2104.0,1720.0,-384.0,62.0,1785.0,-65.0,False,1,1,0,67.437,7.295,0.0,Guéhi,Wan-Bissaka -> Guéhi,Bench Boost
1,34,52.0,49.0,-3.0,1726.0,1418.0,-308.0,2156.0,1769.0,-387.0,48.0,1833.0,-64.0,False,1,2,4,56.334,5.887,0.0,B.Fernandes,Thiaw -> O'Reilly; Rice -> Cherki,Free Hit
1,35,60.0,49.0,-11.0,1786.0,1467.0,-319.0,2216.0,1818.0,-398.0,40.0,1873.0,-55.0,True,1,1,0,50.72,3.667,0.0,B.Fernandes,Enzo -> Sarr,
1,36,81.0,68.0,-13.0,1786.0,1467.0,-319.0,2297.0,1886.0,-411.0,88.0,1961.0,-75.0,False,1,1,0,72.766,1.563,1.0,O'Reilly,Sarr -> Hinshelwood,3xc
1,37,54.0,50.0,-4.0,1840.0,1517.0,-323.0,2351.0,1936.0,-415.0,56.0,2017.0,-81.0,True,1,1,0,52.359,3.172,0.5,B.Fernandes,Cherki -> Semenyo,
1,38,76.0,64.0,-12.0,1916.0,1581.0,-335.0,2427.0,2000.0,-427.0,52.0,2069.0,-69.0,True,1,0,0,48.622,0.0,0.5,B.Fernandes,,
2,3,63.0,57.0,-6.0,63.0,57.0,-6.0,63.0,57.0,-6.0,56.0,56.0,1.0,True,1,1,0,47.005,0.922,0.5,Haaland,Gibbs-White -> Gakpo,
2,4,81.0,76.0,-5.0,144.0,133.0,-11.0,144.0,133.0,-11.0,77.0,133.0,0.0,True,1,1,0,52.856,2.504,1.0,Haaland,Elanga -> Kudus,
2,5,53.0,49.0,-4.0,197.0,182.0,-15.0,197.0,182.0,-15.0,49.0,182.0,0.0,True,1,1,0,47.164,2.399,1.0,Haaland,Rice -> Enzo,
2,6,77.0,73.0,-4.0,197.0,182.0,-15.0,274.0,255.0,-19.0,76.0,258.0,-3.0,False,1,1,0,55.285,2.326,0.5,Haaland,Livramento -> J.Timber,3xc
2,7,97.0,101.0,4.0,294.0,283.0,-11.0,371.0,356.0,-15.0,101.0,359.0,-3.0,True,1,1,0,53.661,1.457,1.0,Haaland,Ekitiké -> Bowen,
2,8,68.0,80.0,12.0,362.0,363.0,1.0,439.0,436.0,-3.0,70.0,429.0,7.0,True,1,0,0,55.788,0.0,1.0,Haaland,,
2,9,60.0,59.0,-1.0,422.0,422.0,0.0,499.0,495.0,-4.0,48.0,477.0,18.0,True,2,2,0,54.074,3.846,0.5,Haaland,Pedro Porro -> Guéhi; Grealish -> Mbeumo,
2,10,75.0,77.0,2.0,497.0,499.0,2.0,574.0,572.0,-2.0,86.0,563.0,9.0,True,1,1,0,55.164,0.137,0.0,Haaland,Kudus -> Neto,
2,11,32.0,34.0,2.0,529.0,533.0,4.0,606.0,606.0,0.0,39.0,602.0,4.0,True,1,1,0,56.843,0.325,0.0,Haaland,Muñoz -> James,
2,12,48.0,44.0,-4.0,577.0,577.0,0.0,654.0,650.0,-4.0,43.0,645.0,5.0,True,1,1,0,54.66,0.684,0.0,Haaland,Van Hecke -> Digne,
2,13,60.0,41.0,-19.0,637.0,618.0,-19.0,714.0,691.0,-23.0,30.0,675.0,16.0,True,1,1,0,51.75,1.633,0.5,Haaland,Semenyo -> Bruno G.,
2,14,77.0,72.0,-5.0,714.0,690.0,-24.0,791.0,763.0,-28.0,84.0,759.0,4.0,True,1,1,0,54.952,2.588,1.5,Haaland,Gabriel -> O'Reilly,
2,15,63.0,53.0,-10.0,777.0,743.0,-34.0,854.0,816.0,-38.0,46.0,805.0,11.0,True,1,1,0,53.006,4.461,1.5,Haaland,Bruno G. -> Rice,
2,16,102.0,75.0,-27.0,777.0,743.0,-34.0,956.0,891.0,-65.0,58.0,863.0,28.0,False,1,1,0,55.684,2.623,0.5,B.Fernandes,Mbeumo -> B.Fernandes,Wild Card
2,17,93.0,75.0,-18.0,870.0,818.0,-52.0,1049.0,966.0,-83.0,75.0,938.0,28.0,True,1,1,0,53.997,3.804,0.0,Haaland,Gakpo -> Mbeumo,
2,18,42.0,28.0,-14.0,912.0,846.0,-66.0,1091.0,994.0,-97.0,37.0,975.0,19.0,True,1,1,0,53.124,1.87,0.0,Haaland,Mbeumo -> Cunha,
2,19,33.0,43.0,10.0,912.0,846.0,-66.0,1124.0,1037.0,-87.0,41.0,1016.0,21.0,False,1,1,0,53.832,1.892,1.5,Haaland,B.Fernandes -> Gordon,Free Hit
2,20,61.0,47.0,-14.0,973.0,893.0,-80.0,1185.0,1084.0,-101.0,61.0,1077.0,7.0,True,1,1,0,48.241,4.406,0.0,Haaland,Rice -> Ødegaard,
2,21,57.0,38.0,-19.0,1030.0,931.0,-99.0,1242.0,1122.0,-120.0,45.0,1122.0,0.0,True,1,1,0,52.393,0.895,0.5,Haaland,J.Timber -> Thiaw,
2,22,42.0,45.0,3.0,1072.0,976.0,-96.0,1284.0,1167.0,-117.0,42.0,1164.0,3.0,True,1,1,0,50.061,2.514,0.5,Haaland,James -> J.Timber,
2,23,43.0,42.0,-1.0,1115.0,1018.0,-97.0,1327.0,1209.0,-118.0,24.0,1188.0,21.0,True,1,1,0,50.954,7.495,0.0,Haaland,Cunha -> Wirtz,
2,24,60.0,69.0,9.0,1175.0,1087.0,-88.0,1387.0,1278.0,-109.0,61.0,1249.0,29.0,True,1,1,0,49.678,3.161,0.0,Wirtz,Thiaw -> N.Williams,
2,25,76.0,57.0,-19.0,1251.0,1144.0,-107.0,1463.0,1335.0,-128.0,53.0,1302.0,33.0,True,1,1,0,51.109,5.635,1.5,Haaland,Ødegaard -> Rice,
2,26,78.0,72.0,-6.0,1329.0,1216.0,-113.0,1541.0,1407.0,-134.0,71.0,1373.0,34.0,True,1,1,0,72.901,7.229,0.0,Rice,Gordon -> B.Fernandes,
2,27,51.0,53.0,2.0,1380.0,1269.0,-111.0,1592.0,1460.0,-132.0,48.0,1421.0,39.0,True,1,1,0,58.167,2.639,0.0,Rice,Neto -> Rogers,
2,28,79.0,66.0,-13.0,1459.0,1335.0,-124.0,1671.0,1526.0,-145.0,71.0,1492.0,34.0,True,1,1,0,53.405,1.484,0.0,Haaland,N.Williams -> Thiaw,
2,29,64.0,61.0,-3.0,1523.0,1396.0,-127.0,1735.0,1587.0,-148.0,53.0,1545.0,42.0,True,1,2,4,55.771,9.868,2.0,M.Salah,Haaland -> Thiago; Wirtz -> M.Salah,
2,30,59.0,43.0,-16.0,1582.0,1439.0,-143.0,1794.0,1630.0,-164.0,42.0,1587.0,43.0,True,1,1,0,57.281,5.555,1.0,M.Salah,O'Reilly -> Virgil,
2,31,68.0,54.0,-14.0,1650.0,1493.0,-157.0,1862.0,1684.0,-178.0,19.0,1606.0,78.0,True,1,1,0,52.37,2.39,5.0,B.Fernandes,M.Salah -> Palmer,
2,32,50.0,72.0,22.0,1700.0,1565.0,-135.0,1912.0,1756.0,-156.0,27.0,1633.0,123.0,True,1,1,0,51.227,2.327,5.5,B.Fernandes,Pope -> Verbruggen,
2,33,102.0,71.0,-31.0,1700.0,1565.0,-135.0,2014.0,1827.0,-187.0,87.0,1720.0,107.0,False,1,1,0,72.226,2.961,5.5,Guéhi,J.Timber -> Matheus N.,Free Hit
2,34,54.0,28.0,-26.0,1754.0,1593.0,-161.0,2068.0,1855.0,-213.0,62.0,1782.0,73.0,True,1,2,4,58.511,10.376,0.5,Haaland,Rice -> Groß; Bowen -> Haaland,
2,35,53.0,39.0,-14.0,1754.0,1593.0,-161.0,2121.0,1894.0,-227.0,44.0,1826.0,68.0,False,1,1,0,48.728,2.414,0.5,B.Fernandes,Enzo -> Sarr,Wild Card
2,36,85.0,67.0,-18.0,1754.0,1593.0,-161.0,2206.0,1961.0,-245.0,68.0,1894.0,67.0,False,1,1,0,71.212,4.01,1.0,Haaland,Matheus N. -> O'Reilly,Bench Boost
2,37,74.0,76.0,2.0,1828.0,1669.0,-159.0,2280.0,2037.0,-243.0,54.0,1948.0,89.0,True,1,1,0,54.444,0.817,0.0,Haaland,Thiaw -> Gabriel,
2,38,51.0,48.0,-3.0,1828.0,1669.0,-159.0,2331.0,2085.0,-246.0,42.0,1990.0,95.0,False,1,0,0,53.233,0.0,0.0,Haaland,,3xc
3,3,54.0,60.0,6.0,54.0,60.0,6.0,54.0,60.0,6.0,58.0,58.0,2.0,True,1,1,0,44.301,4.088,4.0,Haaland,Palmer -> Gakpo,
3,4,50.0,90.0,40.0,54.0,60.0,6.0,104.0,150.0,46.0,86.0,144.0,6.0,False,1,2,4,51.548,6.489,1.0,Haaland,Saka -> Kudus; Cunha -> M.Salah,Wild Card
3,5,44.0,56.0,12.0,98.0,116.0,18.0,148.0,206.0,58.0,55.0,199.0,7.0,True,1,1,0,50.08,4.943,0.0,M.Salah,Diakité -> J.Timber,
3,6,73.0,61.0,-12.0,171.0,177.0,6.0,221.0,267.0,46.0,64.0,263.0,4.0,True,1,1,0,55.158,1.788,0.5,Haaland,Mitchell -> Cash,
3,7,73.0,81.0,8.0,244.0,258.0,14.0,294.0,348.0,54.0,61.0,324.0,24.0,True,1,1,0,56.238,0.788,0.0,Haaland,Gakpo -> Mbeumo,
3,8,77.0,78.0,1.0,321.0,336.0,15.0,371.0,426.0,55.0,81.0,405.0,21.0,True,1,1,0,55.925,1.673,0.0,Haaland,Cash -> Krejčí,
3,9,58.0,62.0,4.0,379.0,398.0,19.0,429.0,488.0,59.0,44.0,449.0,39.0,True,1,0,0,54.381,0.0,0.0,M.Salah,,
3,10,88.0,77.0,-11.0,467.0,475.0,8.0,517.0,565.0,48.0,75.0,524.0,41.0,True,2,1,0,56.21,0.017,0.0,M.Salah,Kudus -> Enzo,
3,11,44.0,39.0,-5.0,511.0,514.0,3.0,561.0,604.0,43.0,56.0,580.0,24.0,True,2,2,0,55.028,2.974,0.0,Haaland,Enzo -> Gravenberch; Krejčí -> James,
3,12,51.0,21.0,-30.0,562.0,535.0,-27.0,612.0,625.0,13.0,32.0,612.0,13.0,True,1,1,0,55.158,1.59,0.0,M.Salah,Guéhi -> Digne,
3,13,45.0,34.0,-11.0,607.0,569.0,-38.0,657.0,659.0,2.0,27.0,639.0,20.0,True,1,1,0,51.543,2.156,0.5,Haaland,James -> O'Reilly,
3,14,70.0,53.0,-17.0,677.0,622.0,-55.0,727.0,712.0,-15.0,72.0,711.0,1.0,True,1,1,0,52.675,3.242,0.0,Haaland,Ballard -> Thiaw,
3,15,65.0,39.0,-26.0,677.0,622.0,-55.0,792.0,751.0,-41.0,39.0,750.0,1.0,False,1,1,0,52.996,1.668,0.0,Haaland,Mateta -> João Pedro,3xc
3,16,88.0,72.0,-16.0,765.0,694.0,-71.0,880.0,823.0,-57.0,70.0,820.0,3.0,True,1,2,4,55.165,5.139,1.0,Saka,M.Salah -> B.Fernandes; Zubimendi -> Saka,
3,17,88.0,78.0,-10.0,853.0,772.0,-81.0,968.0,901.0,-67.0,74.0,894.0,7.0,True,1,1,0,54.951,2.341,0.0,Haaland,João Pedro -> Ekitiké,
3,18,70.0,45.0,-25.0,923.0,817.0,-106.0,1038.0,946.0,-92.0,34.0,928.0,18.0,True,1,1,0,54.244,1.87,0.0,Haaland,Mbeumo -> Cunha,
3,19,48.0,35.0,-13.0,971.0,852.0,-119.0,1086.0,981.0,-105.0,49.0,977.0,4.0,True,1,1,0,55.749,2.03,0.0,Haaland,J.Timber -> Hall,
3,20,64.0,54.0,-10.0,1035.0,906.0,-129.0,1150.0,1035.0,-115.0,31.0,1008.0,27.0,True,1,1,0,52.023,5.125,1.0,Haaland,B.Fernandes -> Ødegaard,
3,21,70.0,45.0,-25.0,1105.0,951.0,-154.0,1220.0,1080.0,-140.0,49.0,1057.0,23.0,True,1,2,4,54.713,2.269,0.0,Haaland,O'Reilly -> N.Williams; Gravenberch -> Cherki,
3,22,45.0,40.0,-5.0,1150.0,991.0,-159.0,1265.0,1120.0,-145.0,37.0,1094.0,26.0,True,1,1,0,50.167,2.06,1.0,Haaland,Ekitiké -> Mateta,
3,23,52.0,34.0,-18.0,1202.0,1025.0,-177.0,1317.0,1154.0,-163.0,35.0,1129.0,25.0,True,1,1,0,50.342,7.517,0.5,Haaland,Cunha -> Wirtz,
3,24,70.0,62.0,-8.0,1272.0,1087.0,-185.0,1387.0,1216.0,-171.0,68.0,1197.0,19.0,True,1,1,0,50.627,3.592,0.0,Wirtz,Estève -> Dorgu,
3,25,72.0,45.0,-27.0,1344.0,1132.0,-212.0,1459.0,1261.0,-198.0,77.0,1274.0,-13.0,True,1,2,4,48.951,6.49,2.0,Haaland,Saka -> Enzo; Dorgu -> Gabriel,
3,26,94.0,73.0,-21.0,1438.0,1205.0,-233.0,1553.0,1334.0,-219.0,71.0,1345.0,-11.0,True,1,2,4,72.094,15.934,1.0,Rice,Ødegaard -> Rice; Cherki -> B.Fernandes,
3,27,46.0,43.0,-3.0,1484.0,1248.0,-236.0,1599.0,1377.0,-222.0,48.0,1393.0,-16.0,True,1,1,0,57.223,7.024,0.0,Rice,Mateta -> Ekitiké,
3,28,81.0,77.0,-4.0,1565.0,1325.0,-240.0,1680.0,1454.0,-226.0,36.0,1429.0,25.0,True,1,1,0,55.626,0.861,0.0,Haaland,N.Williams -> O'Reilly,
3,29,47.0,64.0,17.0,1612.0,1389.0,-223.0,1727.0,1518.0,-209.0,59.0,1488.0,30.0,True,1,2,4,57.257,10.536,2.0,M.Salah,Haaland -> Thiago; Wirtz -> M.Salah,
3,30,62.0,53.0,-9.0,1674.0,1442.0,-232.0,1789.0,1571.0,-218.0,43.0,1531.0,40.0,True,1,1,0,59.891,6.547,1.0,M.Salah,O'Reilly -> Virgil,
3,31,68.0,53.0,-15.0,1742.0,1495.0,-247.0,1857.0,1624.0,-233.0,20.0,1551.0,73.0,True,1,1,0,53.373,2.39,5.0,B.Fernandes,M.Salah -> Palmer,
3,32,67.0,62.0,-5.0,1809.0,1557.0,-252.0,1924.0,1686.0,-238.0,56.0,1607.0,79.0,True,1,1,0,51.277,5.23,1.5,B.Fernandes,Kroupi.Jr -> Bowen,
3,33,107.0,37.0,-70.0,1809.0,1557.0,-252.0,2031.0,1723.0,-308.0,80.0,1687.0,36.0,False,1,1,0,64.488,5.255,2.0,Palmer,Semenyo -> Rodrigo,3xc
3,34,65.0,45.0,-20.0,1809.0,1557.0,-252.0,2096.0,1768.0,-328.0,18.0,1705.0,63.0,False,1,2,4,54.398,7.752,2.5,B.Fernandes,Hall -> O'Reilly; Rodrigo -> Cherki,Free Hit
3,35,63.0,44.0,-19.0,1809.0,1557.0,-252.0,2159.0,1812.0,-347.0,40.0,1745.0,67.0,False,1,1,0,51.787,2.858,0.5,B.Fernandes,Enzo -> Wirtz,Bench Boost
3,36,75.0,60.0,-15.0,1884.0,1617.0,-267.0,2234.0,1872.0,-362.0,81.0,1826.0,46.0,True,1,1,0,72.989,5.289,0.5,O'Reilly,Rice -> Doku,
3,37,58.0,56.0,-2.0,1942.0,1673.0,-269.0,2292.0,1928.0,-364.0,60.0,1886.0,42.0,True,1,1,0,54.758,2.262,0.0,B.Fernandes,Cherki -> Semenyo,
3,38,80.0,50.0,-30.0,1942.0,1673.0,-269.0,2372.0,1978.0,-394.0,25.0,1911.0,67.0,False,1,1,0,51.968,0.24,2.0,Doku,Wirtz -> Szoboszlai,Wild Card
4,3,66.0,40.0,-26.0,0.0,0.0,0.0,66.0,40.0,-26.0,39.0,39.0,1.0,False,1,1,0,47.922,3.956,3.5,M.Salah,Palmer -> Semenyo,Free Hit
4,4,69.0,69.0,0.0,0.0,0.0,0.0,135.0,109.0,-26.0,56.0,95.0,14.0,False,1,1,0,49.086,4.887,2.5,M.Salah,Strand Larsen -> João Pedro,Wild Card
4,5,60.0,65.0,5.0,60.0,65.0,5.0,195.0,174.0,-21.0,63.0,158.0,16.0,True,1,1,0,49.874,3.108,2.5,M.Salah,Murillo -> J.Timber,
4,6,70.0,24.0,-46.0,60.0,65.0,5.0,265.0,198.0,-67.0,12.0,170.0,28.0,False,1,1,0,53.632,3.41,2.0,M.Salah,Sánchez -> Raya,3xc
4,7,82.0,66.0,-16.0,142.0,131.0,-11.0,347.0,264.0,-83.0,33.0,203.0,61.0,True,1,1,0,51.57,2.955,1.5,M.Salah,Ekitiké -> Gyökeres,
4,8,96.0,49.0,-47.0,238.0,180.0,-58.0,443.0,313.0,-130.0,43.0,246.0,67.0,True,1,1,0,53.914,2.393,0.5,M.Salah,Reijnders -> Enzo,
4,9,41.0,54.0,13.0,279.0,234.0,-45.0,484.0,367.0,-117.0,42.0,288.0,79.0,True,1,1,0,54.057,1.724,0.0,M.Salah,Estève -> Guéhi,
4,10,92.0,76.0,-16.0,371.0,310.0,-61.0,576.0,443.0,-133.0,51.0,339.0,104.0,True,1,1,0,55.26,1.071,0.0,M.Salah,Pedro Porro -> Muñoz,
4,11,56.0,33.0,-23.0,427.0,343.0,-84.0,632.0,476.0,-156.0,30.0,369.0,107.0,True,1,0,0,53.206,0.0,0.0,M.Salah,,
4,12,59.0,59.0,0.0,486.0,402.0,-84.0,691.0,535.0,-156.0,60.0,429.0,106.0,True,2,2,0,56.678,6.996,0.0,M.Salah,Gyökeres -> Thiago; Semenyo -> Saka,
4,13,53.0,61.0,8.0,539.0,463.0,-76.0,744.0,596.0,-148.0,57.0,486.0,110.0,True,1,1,0,54.948,0.598,0.0,M.Salah,N.Williams -> O'Reilly,
4,14,73.0,53.0,-20.0,612.0,516.0,-96.0,817.0,649.0,-168.0,31.0,517.0,132.0,True,1,2,4,57.993,1.506,0.0,Saka,M.Salah -> Mbeumo; João Pedro -> Haaland,
4,15,60.0,60.0,0.0,672.0,576.0,-96.0,877.0,709.0,-168.0,74.0,591.0,118.0,True,1,0,0,54.708,0.0,0.0,Haaland,,
4,16,81.0,68.0,-13.0,753.0,644.0,-109.0,958.0,777.0,-181.0,73.0,664.0,113.0,True,2,0,0,58.201,0.0,0.0,Saka,,
4,17,78.0,68.0,-10.0,753.0,644.0,-109.0,1036.0,845.0,-191.0,39.0,703.0,142.0,False,3,2,0,55.824,3.284,0.5,Haaland,Gakpo -> Amad; Muñoz -> Virgil,Bench Boost
4,18,43.0,31.0,-12.0,796.0,675.0,-121.0,1079.0,876.0,-203.0,40.0,743.0,133.0,True,2,2,0,55.537,3.379,0.5,Haaland,Mbeumo -> Cunha; Amad -> Szoboszlai,
4,19,39.0,46.0,7.0,835.0,721.0,-114.0,1118.0,922.0,-196.0,30.0,773.0,149.0,True,1,1,0,54.801,2.88,0.0,Haaland,Szoboszlai -> Schade,
4,20,30.0,68.0,38.0,865.0,789.0,-76.0,1148.0,990.0,-158.0,35.0,808.0,182.0,True,1,1,0,50.583,3.445,0.5,Haaland,B.Fernandes -> Wirtz,
4,21,53.0,56.0,3.0,918.0,845.0,-73.0,1201.0,1046.0,-155.0,32.0,840.0,206.0,True,1,1,0,52.789,1.247,0.0,Haaland,Andersen -> Thiaw,
4,22,48.0,48.0,0.0,966.0,893.0,-73.0,1249.0,1094.0,-155.0,65.0,905.0,189.0,True,1,1,0,54.744,0.809,1.0,Haaland,Cunha -> Rogers,
4,23,40.0,42.0,2.0,1006.0,935.0,-71.0,1289.0,1136.0,-153.0,46.0,951.0,185.0,True,1,1,0,53.379,2.164,0.5,Haaland,Saka -> Palmer,
4,24,66.0,58.0,-8.0,1072.0,993.0,-79.0,1355.0,1194.0,-161.0,51.0,1002.0,192.0,True,1,1,0,52.351,10.251,1.0,Wirtz,Palmer -> Saka,
4,25,62.0,76.0,14.0,1134.0,1069.0,-65.0,1417.0,1270.0,-147.0,51.0,1053.0,217.0,True,1,2,4,52.728,6.073,1.0,Haaland,Saka -> Rice; Schade -> Palmer,
4,26,82.0,74.0,-8.0,1216.0,1143.0,-73.0,1499.0,1344.0,-155.0,59.0,1112.0,232.0,True,1,1,0,73.863,1.469,2.5,Rice,Palmer -> B.Fernandes,
4,27,52.0,58.0,6.0,1268.0,1201.0,-67.0,1551.0,1402.0,-149.0,32.0,1144.0,258.0,True,1,1,0,59.44,2.089,0.0,Rice,Thiago -> Ekitiké,
4,28,92.0,74.0,-18.0,1360.0,1275.0,-85.0,1643.0,1476.0,-167.0,44.0,1188.0,288.0,True,1,1,0,56.43,0.422,0.5,Haaland,Wirtz -> Mbeumo,
4,29,52.0,54.0,2.0,1412.0,1329.0,-83.0,1695.0,1530.0,-165.0,52.0,1240.0,290.0,True,1,2,4,56.959,8.247,0.5,M.Salah,Haaland -> Thiago; Rice -> M.Salah,
4,30,63.0,37.0,-26.0,1475.0,1366.0,-109.0,1758.0,1567.0,-191.0,44.0,1284.0,283.0,True,1,1,0,58.155,1.646,1.0,M.Salah,O'Reilly -> Bogle,
4,31,73.0,53.0,-20.0,1548.0,1419.0,-129.0,1831.0,1620.0,-211.0,64.0,1348.0,272.0,True,1,1,0,52.321,2.39,5.0,B.Fernandes,M.Salah -> Palmer,
4,32,50.0,78.0,28.0,1548.0,1419.0,-129.0,1881.0,1698.0,-183.0,44.0,1392.0,306.0,False,1,1,0,51.195,4.776,1.5,B.Fernandes,Marc Guiu -> Bowen,Wild Card
