squad_slot,gameweek,human_points,model_points,weekly_delta,cumulative_human,cumulative_model,cumulative_delta,raw_cumulative_human,raw_cumulative_model,raw_cumulative_delta,comparison_eligible,free_transfers_before,transfers,hit_cost,predicted_lineup_points,predicted_3gw_gain_vs_hold,bank,captain,transfer_detail,human_chip
2,32,50.0,46.0,-4.0,1203.0,1123.0,-80.0,1338.0,1216.0,-122.0,True,1,1,0,50.777,3.009,0.5,B.Fernandes,Semenyo -> Szoboszlai,
2,33,102.0,62.0,-40.0,1203.0,1123.0,-80.0,1440.0,1278.0,-162.0,False,1,1,0,47.085,4.832,0.0,B.Fernandes,João Pedro -> Bowen,Free Hit
2,34,54.0,57.0,3.0,1257.0,1180.0,-77.0,1494.0,1335.0,-159.0,True,1,1,0,54.578,5.293,0.0,B.Fernandes,Enzo -> Cherki,
2,35,53.0,49.0,-4.0,1257.0,1180.0,-77.0,1547.0,1384.0,-163.0,False,1,1,0,50.185,1.714,0.0,B.Fernandes,Thiaw -> O'Reilly,Wild Card
2,36,85.0,51.0,-34.0,1257.0,1180.0,-77.0,1632.0,1435.0,-197.0,False,1,1,0,52.935,0.678,0.5,B.Fernandes,Raúl -> Thiago,Bench Boost
2,37,74.0,63.0,-11.0,1331.0,1243.0,-88.0,1706.0,1498.0,-208.0,True,1,1,0,52.409,3.685,1.0,B.Fernandes,Rogers -> Doku,
2,38,51.0,56.0,5.0,1331.0,1243.0,-88.0,1757.0,1554.0,-203.0,False,1,0,0,53.492,0.0,1.0,Doku,,3xc
3,11,44.0,43.0,-1.0,44.0,43.0,-1.0,44.0,43.0,-1.0,True,1,1,0,54.48,5.36,0.0,Haaland,Gordon -> Saka,
3,12,51.0,38.0,-13.0,95.0,81.0,-14.0,95.0,81.0,-14.0,True,1,0,0,55.381,0.0,0.0,Haaland,,
3,13,45.0,34.0,-11.0,140.0,115.0,-25.0,140.0,115.0,-25.0,True,2,2,0,53.429,3.732,0.0,Haaland,Semenyo -> Barnes; L.Paquetá -> Bruno G.,
3,14,70.0,75.0,5.0,210.0,190.0,-20.0,210.0,190.0,-20.0,True,1,1,0,56.055,1.249,0.0,Haaland,Burn -> O'Reilly,
3,15,65.0,44.0,-21.0,210.0,190.0,-20.0,275.0,234.0,-41.0,False,1,1,0,53.844,0.857,0.0,Haaland,Bruno G. -> Enzo,3xc
3,16,88.0,68.0,-20.0,298.0,258.0,-40.0,363.0,302.0,-61.0,True,1,2,4,53.866,4.81,0.0,Haaland,João Pedro -> Thiago; Barnes -> Foden,
3,17,88.0,70.0,-18.0,386.0,328.0,-58.0,451.0,372.0,-79.0,True,1,1,0,54.583,1.633,0.0,Haaland,Muñoz -> Konaté,
